+------------------------+-------------------------+-------+-----------+
| format                 | name                    | price | category  |
+------------------------+-------------------------+-------+-----------+
| aliceblue              | Alice Blue              |   100 | Blue      |
| allies                 | Allies                  |   100 | Green     |
| ancient                | Ancient                 |   100 | Red       |
| antiquewhite           | Antique White           |   100 | Greyscale |
| aqua                   | Aqua                    |   100 | Blue      |
| aquamarine             | Aquamarine              |   100 | Blue      |
| arcana                 | Arcana                  |   100 | Green     |
| axis                   | Axis                    |   100 | Red       |
| azure                  | Azure                   |   100 | Blue      |
| beige                  | Beige                   |   100 | Greyscale |
| bisque                 | Bisque                  |   100 | Brown     |
| black                  | Black                   |   100 | Greyscale |
| blanchedalmond         | Blanched Almond         |   100 | Greyscale |
| blue                   | Blue                    |   100 | Blue      |
| blueviolet             | Blue Violet             |   100 | Purple    |
| brown                  | Brown                   |   100 | Brown     |
| burlywood              | Burly Wood              |   100 | Brown     |
| cadetblue              | Cadet Blue              |   100 | Blue      |
| cgablue                | CGA Blue                |     0 | Blue      |
| cgabrown               | CGA Brown               |     0 | Brown     |
| cgacyan                | CGA Cyan                |     0 | Blue      |
| cgadgray               | CGA Dark Gray           |     0 | Greyscale |
| cgadgrey               | CGA Dark Grey           |     0 | Greyscale |
| cgagreen               | CGA Green               |     0 | Green     |
| cgalblue               | CGA Light Blue          |     0 | Blue      |
| cgalcyan               | CGA Light Cyan          |     0 | Blue      |
| cgalgray               | CGA Light Gray          |     0 | Greyscale |
| cgalgreen              | CGA Light Green         |     0 | Green     |
| cgalgrey               | CGA Light Grey          |     0 | Greyscale |
| cgalmagenta            | CGA Light Magenta       |     0 | Pink      |
| cgalred                | CGA Light Red           |     0 | Red       |
| cgamagenta             | CGA Magenta             |     0 | Pink      |
| cgared                 | CGA Red                 |     0 | Red       |
| cgayellow              | CGA Yellow              |     0 | Yellow    |
| chartreuse             | Charteuse               |   100 | Green     |
| chocolate              | Chocolate               |   100 | Brown     |
| collectors             | Collectors              |   100 | Red       |
| common                 | Common                  |   100 | Greyscale |
| community              | Community               |   100 | Green     |
| coral                  | Coral                   |   100 | Orange    |
| cornflowerblue         | Cornflower Blue         |   100 | Blue      |
| cornsilk               | Corn Silk               |   100 | Brown     |
| corrupted              | Corrupted               |   100 | Red       |
| crimson                | Crimson                 |   100 | Red       |
| cyan                   | Cyan                    |   100 | Blue      |
| darkblue               | Dark Blue               |   100 | Blue      |
| darkcyan               | Dark Cyan               |   100 | Blue      |
| darkgoldenrod          | Dark Goldenrod          |   100 | Yellow    |
| darkgray               | Dark Grey               |   100 | Greyscale |
| darkgreen              | Dark Green              |   100 | Green     |
| darkkhaki              | Dark Khaki              |   100 | Brown     |
